6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,2,6,4,2,3,4,5,6,4,5,2,3,4,5,6,6,
2,3,4,5,6,6,6,6,6,6,6,6,6,2,2,3,6,6,6,2,3,2,3,4,5,6,6,6,6,6,4,5,
2,3,2,3,6,3,4,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,2,3,2,3,4,5,
4,5,6,6,2,2,2,2,2,6,2,2,2,5,5,6,6,6,6,6,6,3,4,5,6,5,5,5,6,6,4,5,
2,2,6,2,3,4,5,6,24,6,6,5,6,6,6,6,32,6,2,3,4,6,6,6,6,2,2,3,5,5,5,5,
2,3,6,2,32,3,4,5,2,3,6,6,5,5,5,5,5,6,6,6,6,6,6,6,2,3,2,2,2,3,4,5,
2,6,4,2,3,4,5,6,6,6,5,6,2,3,4,4,4,24,5,5,6,6,6,6,5,3,2,2,2,3,4,5,
2,6,4,2,6,6,6,5,2,5,3,6,4,4,4,2,3,4,6,5,5,6,6,6,5,5,5,32,5,5,5,5,
6,3,6,6,3,2,3,24,5,24,5,6,4,5,5,5,5,5,6,4,6,4,24,6,6,5,6,6,5,5,6,5,
6,6,6,2,24,4,4,2,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,6,6,5,5,5,5,5,5,
6,2,6,4,5,5,5,5,5,3,2,6,3,4,2,2,3,4,6,6,6,6,2,3,4,6,2,3,4,5,6,5,
2,5,5,6,3,4,5,6,24,3,2,6,2,3,4,6,6,6,4,6,6,3,4,2,2,3,6,5,5,5,5,5,
5,2,2,3,6,4,5,6,5,2,32,6,4,2,3,6,4,4,4,4,6,4,4,4,4,2,6,6,4,4,5,5,
6,6,6,6,2,6,6,4,5,4,4,6,6,6,6,3,4,2,3,4,2,6,2,2,2,2,2,6,6,5,3,4,
5,3,4,5,6,6,6,6,6,6,6,6,6,24,6,2,3,4,2,2,24,3,6,3,4,2,5,6,2,6,4,4,
2,5,5,5,6,5,5,24,2,6,6,6,6,6,6,6,6,6,6,2,2,32,5,6,5,5,6,3,2,6,4,4,
2,3,4,5,6,6,6,32,5,5,6,6,6,24,5,5,5,210,211,211,211,211,211,212,6,2,32,2,2,2,6,4,
6,6,6,6,6,6,210,211,211,211,211,211,211,211,211,211,211,231,219,219,219,219,219,229,212,6,6,2,2,3,6,6,
6,5,6,5,210,211,231,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,229,211,211,212,6,6,5,6,
6,2,2,3,218,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,220,6,6,5,6,
6,4,5,2,218,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,213,227,228,5,6,5,6,
3,6,5,6,218,219,213,227,227,227,227,227,227,227,227,215,219,219,219,219,213,227,227,227,227,228,6,4,5,6,5,6,
3,6,5,6,226,227,228,6,5,5,6,2,3,4,5,226,227,227,227,227,228,6,2,6,6,6,5,6,5,6,5,6,
5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,6,2,3,2,3,4,5,5,2,3,4,6,6,4,5,6,6,
2,3,6,5,6,6,6,6,2,3,4,5,6,5,6,5,5,5,5,5,5,5,5,5,5,3,4,4,5,6,5,6,
2,2,2,6,4,5,24,5,6,6,6,6,6,6,6,24,6,6,6,6,6,2,3,4,5,5,5,5,5,5,5,6,
3,4,2,2,6,6,2,2,2,24,4,5,6,6,3,2,3,2,3,4,2,3,2,3,4,4,2,5,5,5,6,5,
3,4,2,3,4,2,6,6,2,2,2,2,2,3,4,5,6,2,3,4,2,3,4,2,2,3,4,4,4,6,5,6,
3,2,3,4,5,2,3,2,6,6,4,5,6,2,2,2,2,3,4,5,6,4,5,2,2,3,2,6,6,4,5,6,
3,2,3,4,5,2,3,2,3,4,6,6,6,2,3,4,5,2,2,2,3,4,5,6,2,6,6,2,3,4,4,6,
2,3,4,5,6,2,3,2,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,2,3,4,6,
2,3,4,5,6,2,3,4,2,2,2,2,3,4,5,6,2,3,4,5,6,6,6,6,6,6,4,5,6,4,5,6
