471,0,0,0,0,485,0,0,0,0,0,485,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,485,429,430,492,0,485,0,492,0,0,0,0,0,485,0,0,0,0,0,485,0,0,0,0,485,0
479,0,421,422,0,0,0,0,0,0,0,493,494,0,0,0,492,493,494,0,0,0,0,0,0,485,0,0,0,492,493,494,0,0,492,0,0,485,0,0,0,0,492,493,494,0,421,422,492,493,494,0,0,0,0,494
0,485,0,0,0,0,0,0,421,422,0,0,495,0,485,0,500,501,502,0,485,0,0,0,0,0,0,485,0,500,501,502,0,485,500,0,492,493,494,0,485,0,500,501,502,0,429,430,500,501,502,0,0,0,0,0
0,0,494,0,485,0,0,485,0,0,0,0,503,0,0,0,0,485,0,0,0,0,0,0,0,0,492,493,494,0,0,485,0,0,494,421,422,501,502,0,0,0,0,485,0,0,485,0,421,422,0,485,0,495,0,485
0,0,0,0,0,0,0,0,494,0,485,0,0,485,0,0,0,0,0,0,485,0,0,0,0,0,500,501,485,0,492,493,494,0,0,0,430,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,485,0,0,495,0,0,0,0,0,0,0,0,494,0,485,0,0,492,0,494,0,0,0,0,0,492,493,494,0,0,502,0,485,0,492,0,0,0,485,0,0,0,0,485,0,0,0,485,0,0,0,0,485,0
0,492,493,494,0,503,0,0,485,0,0,0,0,0,0,0,0,494,0,485,0,0,0,0,0,0,0,0,0,0,0,421,422,0,0,0,0,0,0,0,0,0,0,485,492,0,494,0,0,0,494,0,0,492,493,494
0,500,501,502,0,485,0,492,493,494,0,485,0,0,485,0,421,422,0,0,494,0,0,961,962,0,0,0,0,0,0,0,0,0,0,0,0,485,0,495,0,0,492,493,494,0,485,0,0,0,495,0,485,500,501,502
0,485,0,0,0,0,0,500,501,502,0,0,0,0,0,494,429,430,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,485,500,501,502,492,493,494,0,0,503,0,0,494,0,485
492,493,494,421,422,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,1004,1005,1005,1006,0,0,0,0,0,0,0,0,485,0,0,0,494,421,422,500,501,502,0,485,0,0,0,0,0,0
