159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,17,17,17,17,17,17,17,17,17,17,17,17,159
159,1173,1191,25,25,25,25,25,25,25,25,25,1319,159
159,0,0,0,0,0,0,0,0,0,0,0,0,159
159,0,0,0,0,0,0,0,0,0,0,0,0,159
159,1299,1552,0,0,0,0,0,0,0,1213,1214,0,159
159,1299,1552,0,0,0,0,0,0,0,1221,1222,0,159
159,1299,1552,0,0,0,0,0,0,159,159,159,159,159
159,1299,1552,0,0,0,0,0,0,159,159,159,159,159
159,1299,1552,0,0,0,0,0,0,159,159,159,159,159
159,0,0,0,0,0,0,0,0,159,159,159,159,159
159,159,159,870,871,872,159,159,159,159,159,159,159,159
