159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,159
159,1134,11,1134,11,1134,11,1134,11,11,1134,11,1134,11,1134,11,1134,159
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
159,0,0,0,1293,0,0,0,1159,1160,0,0,0,0,1293,0,0,159
159,0,1294,1703,1704,1281,0,1177,0,0,1397,0,1282,1703,1704,1281,0,159
159,0,1302,1711,1712,1289,0,0,0,0,0,0,1290,1711,1712,1289,0,159
159,0,1280,0,0,0,0,0,0,0,0,0,0,1291,1296,0,0,159
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,159
159,159,159,159,870,871,872,159,159,159,159,159,159,159,159,159,159,159
