1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716
1716,12,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1716
1716,20,10,10,10,10,10,224,10,10,10,10,10,10,10,11,1716
1716,698,699,289,290,293,294,0,428,609,289,290,293,294,311,29,1716
1716,0,0,297,315,316,302,0,0,0,297,298,301,302,619,619,1716
1716,0,0,305,306,309,310,0,0,0,305,306,309,310,627,627,1716
1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716
1716,911,912,0,0,0,0,0,0,0,0,0,0,0,909,910,1716
1716,919,0,0,0,0,0,0,0,0,0,0,0,0,0,918,1716
1716,927,928,0,0,0,0,0,0,0,0,0,0,0,925,926,1716
1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716
1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716
