0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,421,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,485,8,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,421,422,492,0,0,0,0,0,0,0,0,533,0,421,422,0,0,0,421,422,0,0,0,0,0,533,0,0,533,0,0,0
0,0,0,485,0,0,0,485,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,421,422,0,0,0,0,421,422,0,0,0,542,540,541,0,0,0
421,422,492,493,0,0,0,0,494,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,421,422,0,0,0,0,0,0,0,0,0,8,1049,1050,0,0,0,0,495,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,429,430,0,0,0,0,0,0,0,533,0
0,0,0,0,0,485,0,0,0,0,0,0,503,0,8,0,0,0,485,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,1316,0,16,1057,1058,0,0,533,0,503,0,0,0,0,421,422,495,0,0,0,3345,3346,3347,3348,3345,3346,3347,3348,0,495,0,533,0,0,0,540,0,0
0,485,0,0,492,0,494,0,0,485,0,421,422,0,0,0,0,0,0,0,495,0,0,0,0,8,0,0,0,0,0,0,485,0,1332,0,0,1065,1066,0,0,0,0,0,0,0,421,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0
0,0,0,0,0,0,471,0,0,0,0,429,430,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,430,0,0,0,524,0,0,0,0,0,0,0,0,0,0,1343,0,0,0,0,0,421,422,0,0
0,0,0,0,421,422,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,421,422,0,0,0,0,0,0,0,0,503,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,421,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,422,0,0,0,0,0,0,0,0,0,0,0,0,421,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,495,0,421,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,533,0,0,0
