159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,80,77,101,102,103,78,78,78,101,102,103,79,80,159
159,88,85,109,110,111,86,86,86,109,110,111,87,88,159
159,88,0,0,0,0,0,0,0,0,0,0,0,88,159
159,88,0,0,0,0,0,0,0,0,0,0,0,88,159
159,96,0,0,0,0,1270,1271,1272,0,0,0,0,96,159
159,104,0,0,0,0,0,0,0,0,0,0,0,104,159
159,0,0,0,1684,1685,1685,1685,1685,1685,1686,0,0,0,159
159,0,0,0,0,0,0,0,0,0,0,0,0,0,159
159,0,0,0,0,0,0,0,0,0,0,0,0,0,159
159,1321,1322,0,0,0,0,0,0,0,0,0,1322,1321,159
159,159,159,159,159,159,870,871,872,159,159,159,159,159,159
